image,active ankle_x,active ankle_y,active ankle_v,hip_x,hip_y,hip_v,knee_x,knee_y,knee_v,shoulder_x,shoulder_y,shoulder_v,standing ankle_x,standing ankle_y,standing ankle_v,wrist_x,wrist_y,wrist_v
WIN_20250602_11_04_50_Pro_aug_7.jpg,141.33334350585938,140.08888244628906,591.0,123.0666732788086,139.37777709960938,588.0,123.60000610351562,190.3407440185547,803.0,122.53334045410156,66.37036895751953,280.0,124.66667175292969,249.59999084472656,1053.0,136.93333435058594,127.52592468261719,538.0
WIN_20250602_11_04_50_Pro_aug_8.jpg,140.0,138.0,591.0,123.0,138.0,588.0,123.0,189.0,803.0,124.0,65.0,280.0,123.0,250.0,1053.0,135.0,128.0,538.0
WIN_20250602_11_04_50_Pro_aug_9.jpg,132.56597900390625,138.76673889160156,591.0,113.70054626464844,137.95289611816406,588.0,113.31787872314453,191.45556640625,803.0,114.4871597290039,61.308082580566406,280.0,113.33440399169922,253.6696014404297,1053.0,128.24879455566406,125.56197357177734,538.0
WIN_20250602_11_04_50_Pro_aug_10.jpg,144.0,131.0,591.0,127.0,130.0,588.0,128.0,181.0,803.0,127.0,61.0,280.0,129.0,247.0,1053.0,141.0,120.0,538.0
WIN_20250602_11_04_50_Pro_aug_11.jpg,145.0,131.0,591.0,127.0,130.0,588.0,128.0,181.0,803.0,127.0,60.0,280.0,129.0,247.0,1053.0,141.0,119.0,538.0
WIN_20250602_11_04_50_Pro_aug_12.jpg,139.65179443359375,148.86390686035156,591.0,119.3498764038086,147.43899536132812,588.0,121.77251434326172,203.50396728515625,803.0,117.3943099975586,66.64968872070312,280.0,124.35581970214844,266.244140625,1053.0,135.0836639404297,136.4565887451172,538.0
WIN_20250602_11_04_50_Pro_aug_13.jpg,141.0,140.0,591.0,122.0,140.0,588.0,124.0,190.0,803.0,121.0,66.0,280.0,125.0,250.0,1053.0,138.0,128.0,538.0
WIN_20250602_11_04_50_Pro_aug_14.jpg,140.1856231689453,135.5289764404297,591.0,122.99430847167969,133.36448669433594,588.0,124.63655090332031,184.24473571777344,803.0,121.79255676269531,63.561668395996094,280.0,126.73214721679688,249.170654296875,1053.0,135.46517944335938,123.17740631103516,538.0
WIN_20250602_11_04_50_Pro_aug_15.jpg,137.57675170898438,141.09629821777344,591.0,120.02062225341797,139.67166137695312,588.0,119.60954284667969,192.62997436523438,803.0,120.83140563964844,63.814491271972656,280.0,119.5610122680664,254.2261505126953,1053.0,133.57257080078125,127.88118743896484,538.0
WIN_20250602_11_04_50_Pro_aug_16.jpg,128.5016326904297,147.02001953125,591.0,111.0685806274414,145.6487274169922,588.0,110.7303466796875,194.2263641357422,803.0,111.7734375,76.06723022460938,280.0,110.76347351074219,250.72891235351562,1053.0,124.50850677490234,134.88296508789062,538.0
